SSC,Suburb,Population
11110,Hillgrove (Armidale Dumaresq - NSW),290
11111,Hillsborough (Lake Macquarie - NSW),670
11112,Hillsdale,4970
11113,Hillston,1428
11114,Hillville,280
11115,Hillvue,6267
11116,Hinchinbrook (NSW),10615
11117,Hinton,312
11118,Hobartville (NSW),2847
11119,Hogarth Range,280
11120,Holbrook,1685
11121,Holgate,990
11122,Holmesville,1417
11123,Holroyd,1046
11124,Holsworthy,5060
11125,Homebush (NSW),6197
11126,Homebush West,5793
11127,Homeleigh,151
11128,Hopkins Creek,207
11129,Horningsea Park,3678
11130,Hornsby,19881
11131,Hornsby Heights,6177
11132,Horse Station Creek,202
11133,Horseshoe Bend,399
11134,Horsfield Bay,527
11135,Horsley,7035
11136,Horsley Park,1935
11137,Hoskinstown,342
11138,Howlong,2556
11139,Hoxton Park,4206
11141,Hunters Hill,8995
11142,Hunterview,2637
11143,Huntley (Orange - NSW),305
11144,Huntleys Cove,737
11145,Huntleys Point,135
11146,Huonbrook,305
11147,Hurlstone Park,4694
11148,Hurstville,26049
11149,Hurstville Grove,2389
11150,Huskisson,730
11151,Hyams Beach,292
11152,Hyland Park,443
11153,Ilarwill,214
11154,Ilford,303
11155,Illawong,7316
11156,Iluka (NSW),1699
11157,Ingleburn,13907
11158,Ingleside,1118
11159,Inverell,11401
11160,Invergowrie,750
11161,Islington,1807
11162,Ivanhoe (NSW),199
11163,Jacks Creek,144
11164,Jamberoo,1532
11165,James Creek,218
11166,Jamisontown,5236
11167,Jannali,5963
11168,Jaspers Brush,372
11169,Jeir,309
11170,Jellat Jellat,209
11171,Jemalong,262
11172,Jennings,212
11173,Jerangle,224
11174,Jeremadra,353
11175,Jerilderie,1066
11176,Jerrabomberra,9426
11177,Jerrara,283
11178,Jerrys Plains,688
11179,Jerseyville,136
11180,Jesmond,2600
11181,Jewells,3124
11182,Jiggi,335
11183,Jilliby,1761
11184,Jindabyne,2450
11185,Jindera,1814
11186,Jingellic,23
11187,Johns River,347
11189,Jugiong,304
11190,Junction Hill,1176
11191,Junee,4577
11192,Kahibah,2085
11193,Kains Flat,349
11194,Kalang,373
11195,Kalaru,640
11196,Kalkite,172
11197,Kanahooka,5160
11198,Kandos,1282
11199,Kangaloon,310
11200,Kangaroo Creek,258
11201,Kangaroo Point (NSW),577
11202,Kangaroo Valley,842
11203,Kangy Angy,317
11204,Kanimbla (NSW),262
11205,Kanoona,333
11206,Kanwal,3880
11207,Kapooka,338
11208,Karabar,8605
11209,Karangi,534
11210,Kareela,3328
11211,Kariong,6448
11212,Karuah,1327
11213,Katoomba,8010
11214,Kearns,2756
11215,Kearsley,740
11216,Keepit,321
11217,Keerrong,378
11218,Keiraville,3337
11219,Keith Hall,177
11220,Kellyville,20325
11221,Kellyville Ridge,8342
11222,Kelso (NSW),7733
11223,Kembla Grange,221
11225,Kemps Creek,2307
11226,Kempsey,391
11227,Kendall,1185
11228,Kenebri,170
11229,Kensington (NSW),12780
11230,Kenthurst,4880
11231,Kentlyn,694
11232,Kentucky,324
11233,Kerrigundi,429
11234,Kew (NSW),651
11235,Khancoban,452
11236,Kiah,239
11237,Kiama,6266
11238,Kiama Downs,4850
11239,Kiama Heights,897
11240,Kianga (NSW),740
11241,Kielvale,326
11242,Kilaben Bay,1341
11243,Killabakh,257
11244,Killara (NSW),9283
11245,Killarney Heights,4459
11246,Killarney Vale,6942
11247,Killawarra (NSW),263
11248,Killcare,457
11249,Killcare Heights,753
11250,Killingworth (NSW),701
11251,Kimbriki,119
11252,Kinchela,318
11253,Kincumber,6836
11254,Kincumber South,680
11255,Kindee,295
11256,King Creek,1334
11257,Kings Langley,9266
11258,Kings Park (NSW),3342
11259,Kings Point,563
11260,Kingscliff,6403
11261,Kingsford (NSW),14101
11262,Kingsgrove,11521
11263,Kingsvale,218
11264,Kingswood (Penrith - NSW),9110
11265,Kingswood (Tamworth - NSW),1132
11266,Kioloa,206
11268,Kirkham,696
11269,Kirrawee,8970
11270,Kirribilli,3665
11271,Kitchener,528
11272,Knockrow,195
11273,Kogarah,12751
11274,Kogarah Bay,2061
11275,Koolewong,794
11276,Koonawarra,3633
11277,Koonorigan,271
11278,Kooragang,16
11279,Koorainghat,207
11280,Koorawatha,259
11281,Kooringal (NSW),7296
11282,Kootingal,2156
11283,Koraleigh,279
11284,Korora,2225
11285,Kosciuszko National Park,764
11286,Kotara,3906
11287,Kotara South,1145
11288,Krambach,393
11290,Kulnura,583
11291,Kundabung,552
11292,Kundle Kundle,325
11293,Kurmond,877
11294,Kurnell,2215
11295,Kurraba Point,1700
11296,Kurrajong,3129
11297,Kurrajong Heights,1231
11298,Kurrajong Hills,644
11299,Kurri Kurri,5773
11300,Kyeemagh,790
11301,Kyle Bay,837
11302,Kyogle,2548
11303,La Perouse,415
11304,Lacmalac,121
11305,Lade Vale,504
11306,Ladysmith,196
11307,Laggan,327
11308,Lagoon Grass,101
11309,Laguna,552
11310,Lake Albert,5872
11311,Lake Cargelligo,1376
11312,Lake Cathie,2998
11313,Lake Conjola,397
11314,Lake Haven,3380
11315,Lake Heights,3261
11316,Lake Illawarra,3091
11317,Lake Innes,571
11318,Lake Munmorah,4801
11319,Lake Tabourie,601
11320,Lake Wyangan,901
11321,Lakelands (NSW),1508
11322,Lakemba,15515
11323,Lakesland,406
11324,Lakewood (NSW),1314
11325,Lalalty,262
11326,Lalor Park,6992
11327,Lambs Valley (Singleton - NSW),435
11328,Lambton,4999
11329,Lane Cove,9478
11330,Lane Cove North,9347
11331,Lane Cove West,2241
11332,Lanitza,424
11334,Lansdowne (Greater Taree - NSW),635
11336,Lansvale,2432
11337,Lapstone,912
11338,Largs,1355
11339,Larnook,371
11340,Larras Lee,93
11341,Laurieton,1930
11342,Lavender Bay,860
11343,Lavington,12033
11344,Lawrence (NSW),1046
11345,Lawson (NSW),2884
11346,Leadville,180
11347,Leconfield,220
11348,Leeton,8397
11349,Leets Vale,276
11350,Legume,369
11351,Leichhardt (NSW),13517
11352,Lemon Tree Passage,2545
11353,Lennox Head,6151
11354,Leonay,2425
11355,Leppington,2384
11356,Lethbridge Park,4649
11357,Leumeah,9406
11358,Leura,4368
11359,Lewis Ponds,414
11360,Lewisham (NSW),2919
11361,Leycester,234
11362,Liberty Grove,2054
11363,Lidcombe,16687
11364,Lidsdale,515
11365,Lightning Ridge,2491
11366,Lilli Pilli (Eurobodalla - NSW),617
11367,Lilli Pilli (Sutherland - NSW),1277
11368,Lillian Rock,215
11369,Lilyfield,7345
11370,Lilyvale (NSW),74
11371,Limbri,245
11372,Limeburners Creek (Great Lakes - NS,312
11373,Limpinwood,224
11374,Linden (NSW),590
11375,Lindendale,318
11376,Lindfield,8652
11377,Lindifferon,246
11378,Linley Point,396
11379,Lisarow,5028
11380,Lismore (NSW),3793
11381,Lismore Heights,2197
11382,Liston,350
11383,Lithgow,5649
11384,Little Bay,2941
11385,Little Billabong,373
11386,Little Forest,323
11387,Little Hartley,536
11388,Little Wobby,218
11389,Littleton,871
11390,Liverpool,24112
11391,Llanarth (NSW),1748
11392,Llandilo,1596
11393,Lloyd,529
11394,Lochiel (NSW),315
11395,Lochinvar,941
11396,Lockhart (NSW),1304
11397,Loftus,4017
11398,Loftville,245
11399,Logans Crossing,342
11400,Logie Brae,166
11401,Londonderry (NSW),3819
11402,Long Beach,1379
11403,Long Flat (NSW),386
11404,Long Jetty,5784
11405,Long Point (Campbelltown - NSW),203
11406,Longueville,2097
11407,Loomberah,492
11408,Lord Howe Island,359
11409,Lorn,1263
11410,Lorne (NSW),273
11411,Louth Park,637
11412,Lovedale,335
11413,Lowanna,321
11414,Lower Belford,384
11415,Lower Boro,245
11416,Lower Dyraaba,130
11417,Lower Macdonald,263
11418,Lower Pappinbarra,267
11419,Lower Portland,549
11420,Lowesdale,310
11422,Lucknow (NSW),325
11423,Luddenham,1495
11424,Lue,454
11425,Lugarno,5548
11426,Lurnea,8620
11427,Luskintyre,264
11428,Lynchs Creek,253
11429,Lyndhurst (Blayney - NSW),216
11430,Lynwood (NSW),186
11431,Macksville,2566
11432,Maclean,2609
11433,Macmasters Beach,1220
11434,Macquarie Fields,13176
11435,Macquarie Hills,3076
11436,Macquarie Links,1095
11437,Macquarie Park,6141
11439,Magenta (NSW),88
11440,Maianbar,518
11441,Main Arm,554
11442,Maison Dieu,163
11443,Maitland (NSW),1830
11444,Majors Creek (NSW),221
11445,Malabar,4933
11446,Mallabula,848
11447,Mallanganee,198
11448,Mallowa,284
11449,Maloneys Beach,370
11450,Malua Bay,1809
11451,Mandalong,388
11452,Mandurama,494
11453,Mangerton,2824
11454,Mangoplah,517
11455,Mangrove Mountain,728
11456,Manildra,731
11457,Manilla,2515
11458,Manly (NSW),15066
11459,Manly Vale,5702
11460,Mannering Park,2401
11461,Manning Point,206
11462,Manyana,380
11463,Maraylya,1171
11464,Marayong,7311
11465,Marchmont,316
11466,Mardi,3441
11467,Marks Point,1740
11468,Markwell,268
11469,Marlee,341
11470,Marmong Point,763
11471,Maroota,292
11472,Maroubra,29578
11473,Marrangaroo,821
11474,Marrar,171
11475,Marrickville,24586
11476,Marsden Park,1047
11477,Marsfield,12353
11478,Marshall Mount,353
11479,Marthaguy,255
11480,Martindale,433
11481,Martins Creek,340
11482,Martinsville,363
11483,Marulan,1380
11484,Maryland (Newcastle - NSW),7778
11485,Marys Mount,224
11486,Maryville,1423
11487,Mascot,10178
11488,Matcham,972
11489,Mathoura,1164
11490,Matong,303
11491,Matraville,9047
11492,Mayfield (Newcastle - NSW),9091
11493,Mayfield East,1710
11494,Mayfield West,1771
11495,Mays Hill,714
11496,McDougalls Hill,456
11497,McGraths Hill,2506
11498,McKellars Park,222
11499,McLeans Ridges,618
11500,McMahons Point,2343
11501,Meadow Flat,353
11502,Meadowbank (NSW),3671
11503,Medlow Bath,544
11504,Medowie,8844
11505,Medway,385
11506,Meerschaum Vale,354
11507,Megan,191
11508,Melrose Park (NSW),1481
11509,Memagong,497
11510,Menah,423
11511,Menai,10529
11512,Menangle,880
11513,Menangle Park,241
11514,Mendooran,449
11515,Menindee,449
11516,Merah North,388
11517,Merewether,10477
11518,Merewether Heights,1435
11519,Merimbula,3277
11520,Meroo Meadow,350
11521,Merriwa (NSW),1793
11522,Merriwagga,167
11523,Merrygoen,146
11524,Merrylands,26684
11525,Merrylands West,6196
11526,Merungle Hill,236
11528,Metford,4867
11529,Methul,308
11530,Michelago,644
11531,Middle Arm,500
11532,Middle Brook,404
11533,Middle Cove,1273
11534,Middle Dural,926
11535,Middleton Grange,516
11536,Mila,241
11537,Miller,3090
11538,Millers Forest,323
11539,Millers Point,1739
11540,Millfield,802
11541,Millingandi,384
11542,Millthorpe,1114
11543,Milperra,3854
11544,Milsons Passage,112
11545,Milsons Point,2018
11546,Milton (NSW),1443
11547,Minchinbury,5455
11548,Mindaribba,327
11549,Minmi,696
11550,Minnamurra,857
11551,Minnie Water,191
11552,Minore Falls,113
11553,Minto,10299
11554,Minto Heights,377
11555,Miranda (NSW),14425
11556,Mirrabooka (NSW),749
11557,Mirrool,232
11558,Missabotti,309
11559,Mitchell (NSW),1184
11560,Mitchells Flat,308
11561,Mitchells Island,446
11562,Mittagong,5709
11563,Moama,5573
11564,Modanville,567
11565,Mogareeka,208
11566,Mogendoura,232
11567,Mogo (Eurobodalla - NSW),262
11568,Mogood,30
11569,Mole River,447
11570,Mollymook,1184
11571,Mollymook Beach,2053
11572,Molong,2509
11573,Mona Vale,10175
11574,Monaltrie,206
11576,Monteagle,412
11577,Montefiores,472
11578,Monterey,4335
11579,Mooball,377
11580,Moobi,258
11581,Moonan Flat,275
11582,Moonbah,932
11583,Moonbi,993
11584,Mooneba,261
11585,Moonee Beach,1561
11586,Mooney Mooney,425
11587,Moorbel,243
11588,Moore Creek,1541
11590,Moorebank,7590
11591,Moorland (NSW),568
11592,Moorong,105
11593,Moree,9339
11594,Morisset,2856
11595,Morisset Park,616
11596,Morpeth,1260
11597,Mortdale,9703
11598,Mortlake (NSW),753
11599,Morton,196
11600,Morts Estate,432
11601,Moruya,3864
11602,Moruya Heads,922
11603,Mosman,27462
11604,Moss Vale,7778
11605,Mossy Point,509
11606,Moto,289
11607,Moulamein,586
11608,Mount Annan,10543
11609,Mount Arthur,482
11610,Mount Austin,4000
11611,Mount Burrell,485
11612,Mount Colah,7113
11613,Mount Druitt,15819
11614,Mount Elliot (NSW),203
11615,Mount Fairy,185
11616,Mount George (NSW),339
11617,Mount Hunter,811
11618,Mount Hutton (NSW),3174
11619,Mount Keira,1515
11620,Mount Kembla,1027
11621,Mount Kuring-Gai,1575
11622,Mount Lewis,1100
11623,Mount Olive (Singleton - NSW),237
11624,Mount Ousley,1532
11625,Mount Pleasant (NSW),1196
11626,Mount Pritchard,9053
11627,Mount Rankin,338
11628,Mount Riverview,2964
11629,Mount Russell,307
11630,Mount Saint Thomas,1414
11631,Mount Thorley,181
11632,Mount Vernon,1034
11633,Mount Victoria,893
11634,Mount View,249
11635,Mount Vincent,380
11636,Mount Warrigal,4539
11637,Mountain Lagoon,328
11638,Mountain View (NSW),185
11639,Mudgee,9821
11640,Mugga Downs,751
11641,Mulbring,697
11642,Mulgoa,1786
11643,Muli Muli,166
11644,Mullaway,523
11645,Mullengandra,322
11646,Mullion Creek,575
11647,Mulloon,112
11648,Mullumbimby,3173
11649,Mullumbimby Creek,635
11650,Mulwala,1907
11651,Mumbil,421
11652,Mummulgum,258
11653,Mundamia,94
11654,Mundongo,214
11655,Mungindi (NSW),742
11656,Murrami,270
11657,Murray Downs,146
11658,Murrin Bridge,98
11659,Murringo,321
11660,Murrumbateman,2837
11661,Murrumburrah,481
11662,Murrurundi,846
11663,Murwillumbah,6337
11664,Muscle Creek,520
11665,Muswellbrook,11801
11666,Mutawintji,178
11667,Myall Park (NSW),135
11668,Mylestom,337
11669,Myocum,941
11670,Myola (NSW),103
11671,Myrtle Creek (NSW),234
11672,Myrtleville,379
11673,Mystery Bay,247
11674,Nabiac,1515
11675,Nambucca Heads,6235
11676,Nana Glen,1030
11677,Nangus,411
11678,Nanima,148
11679,Napoleon Reef,339
11680,Naradhan,167
11681,Narara,7772
11682,Narellan,3494
11683,Narellan Vale,7249
11684,Naremburn,5473
11685,Narooma,2414
11686,Narrabeen,7471
11687,Narrabri,7398
11688,Narraburra,273
11689,Narrandera,4471
11690,Narrawallee,1279
11691,Narraweena,6151
11692,Narromine,4573
11693,Narwee,4947
11694,Nashdale,365
11695,Nashua,244
11696,Neath,431
11697,Nelligen,254
11698,Nelson (The Hills - NSW),472
11699,Nelson Bay (NSW),5385
11700,Nelsons Plains,322
11701,Nemingha,641
11702,Nericon,308
11703,Nerong,350
11704,Nerriga,366
11705,Nerrigundah,57
11706,Nethercote,367
11707,Neurea,371
11708,Neutral Bay,9390
11709,Nevertire,226
11710,Neville,221
11711,New Berrima,543
11712,New Brighton,293
11713,New Italy,294
11714,New Lambton,9744
11715,New Lambton Heights,2153
11716,Newbridge (NSW),183
11717,Newcastle,2384
11718,Newcastle East,993
11719,Newcastle West,590
11720,Newee Creek,385
11721,Newington (NSW),5323
11722,Newport (NSW),9030
11723,Newrybar,462
11724,Newtown (NSW),14158
11725,Niagara Park,2814
11726,Niangala,141
11727,Nimbin,1667
11728,Nimmitabel,224
11729,Nobbys Creek,276
11730,Norah Head,1090
11731,Noraville,2699
11732,Nords Wharf,826
11733,Normanhurst,5160
11734,North Albury,5992
11735,North Arm Cove,421
11736,North Avoca,1953
11737,North Balgowlah,3454
11738,North Batemans Bay,543
11739,North Boambee Valley,1572
11740,North Bondi,8579
11742,North Casino,971
11743,North Curl Curl,3540
11744,North Dorrigo,306
11745,North Epping,4407
11746,North Gosford,3508
11747,North Haven (NSW),1597
11748,North Lambton,3116
11749,North Lismore,799
11750,North Macksville,635
11751,North Manly,2785
11752,North Narooma,578
11753,North Narrabeen,5539
11754,North Nowra,5391
11755,North Parramatta,12594
11756,North Richmond,4602
11757,North Rocks,7628
11758,North Rothbury,838
11759,North Ryde,10122
11760,North Shore (NSW),381
11761,North St Marys,3688
11762,North Star,421
11763,North Strathfield,4441
11764,North Sydney,6262
11765,North Tamworth,4096
11766,North Tumbulgum,303
11767,North Turramurra,3974
11768,North Wagga Wagga,738
11769,North Wahroonga,1884
11770,North Willoughby,3905
11771,North Wollongong,2268
11772,North Yeoval,96
11773,Northbridge (NSW),5928
11774,Northmead,10224
11775,Northwood (NSW),915
11776,Nowendoc,141
11777,Nowra,9264
11778,Nowra Hill,1838
11779,Nulkaba,549
11780,Nullamanna,413
11781,Numbugga,176
11782,Numeralla,364
11783,Numulgi,260
11784,Nunderi,672
11785,Nundle,598
11788,Nymboida,300
11789,Nyngan,2388
11790,O'Connell (NSW),645
11791,Oak Flats,6308
11792,Oakdale (NSW),1908
11793,Oakhampton,590
11794,Oakhurst (NSW),6940
11795,Oaklands,239
11796,Oakville,1845
11797,Oaky Park,332
11798,Oatlands (NSW),5328
11799,Oatley,10096
11800,Oberon,3164
11801,Obley,355
11802,Ocean Shores,4868
11803,Old Bar,4281
11804,Old Bonalbo,272
11805,Old Erowal Bay,947
11806,Old Grevillia,216
11807,Old Guildford,2593
11808,Old Junee,529
11809,Old Toongabbie,2678
11810,One Mile (NSW),276
11811,Ootha,91
11812,Ophir,149
11813,Oran Park,196
11814,Orange,35996
11815,Orangeville,1104
11816,Orchard Hills,1911
11817,Orient Point,651
11818,Osterley (NSW),245
11819,Otford,285
11820,Oura,477
11821,Ourimbah,4156
11822,Oxford Falls,445
11823,Oxley Island,300
11824,Oxley Park,2925
11825,Oxley Vale,3341
11826,Oyster Bay,5429
11827,Paddington (NSW),12151
11828,Paddys River (Wingecarribee - NSW),201
11829,Padstow,12703
11830,Padstow Heights,3490
11831,Pagewood,3644
11832,Pallamallawa,492
11833,Palm Beach (NSW),1601
11834,Palmers Island,478
11835,Pambula,864
11836,Pambula Beach,662
11837,Pampoolah,366
11838,Panania,11471
11839,Parkes (NSW),11263
11840,Parkesbourne,351
11841,Parklea,3458
11842,Parkville (NSW),323
11843,Parma,320
11844,Parramatta,19763
11845,Parraweena,245
11846,Paterson (NSW),801
11847,Patonga,202
11848,Paxton,848
11849,Peak Hill (NSW),1149
11850,Peakhurst,9905
11851,Peakhurst Heights,2324
11852,Pearl Beach,513
11853,Peats Ridge,328
11854,Peel,553
11855,Pelaw Main,1030
11856,Pelican (NSW),841
11857,Pembrooke,148
11858,Pemulwuy,3015
11859,Pendle Hill,6660
11860,Pennant Hills,7043
11861,Penrith,11804
11862,Penrose (Wingecarribee - NSW),283
11863,Penrose (Wollongong - NSW),1394
11864,Penshurst (NSW),11692
11865,Perthville,820
11866,Petersham,7530
11867,Pheasants Nest,594
11868,Phegans Bay,440
11869,Phillip Bay,639
11870,Piallamore,220
11871,Piallaway,237
11872,Piambong,381
11873,Picketts Valley,269
11874,Picnic Point,5613
11875,Picton (NSW),4590
11876,Piggabeen,327
11877,Pillar Valley,348
11878,Pimlico (NSW),453
11879,Pindimar,229
11880,Pine Ridge,290
11882,Pitnacree,42
11883,Pitt Town,1957
11884,Pleasant Hills,306
11885,Pleasure Point,298
11886,Plumpton (NSW),8251
11887,Point Clare,3811
11888,Point Frederick,1774
11889,Point Piper,1408
11891,Pokolbin,701
11893,Pomona (NSW),137
11894,Pooncarie,326
11896,Port Hacking,1228
11897,Port Kembla,4875
11898,Port Macquarie,41516
11899,Porters Retreat,255
11900,Portland (NSW),2308
11902,Possum Creek,278
11903,Potato Point,269
11905,Potts Point,6856
11906,Pottsville,5734
11907,Prairiewood,3009
11908,Premer,233
11909,Prestons,14441
11910,Pretty Beach (Gosford - NSW),531
11911,Primbee,1583
11912,Primrose Valley,279
11913,Prospect (NSW),4614
11915,Pumpenbil,440
11916,Punchbowl (Canterbury - NSW),18417
11917,Purfleet,157
11918,Putney,4082
11919,Putta Bucca,294
11920,Putty,320
11921,Pymble,10585
11922,Pyree,259
11923,Pyrmont,11625
11924,Quaama,159
11925,Quakers Hill,26165
11926,Quambone,249
11927,Quandialla,350
11928,Queanbeyan,5780
11929,Queanbeyan East,3771
11930,Queanbeyan West,3149
11931,Queens Park (NSW),2938
11932,Queenscliff (NSW),3212
11933,Quialigo,579
11934,Quirindi,3531
11935,Quorrobolong,742
11936,Raby,5983
11937,Raglan (NSW),1079
11938,Rainbow Flat,667
11939,Raleigh,556
11940,Ramornie,332
11941,Ramsgate,904
11942,Ramsgate Beach,1457
11943,Rand,574
11944,Randwick,27744
11945,Rankin Park,2454
11946,Rankins Springs,298
11947,Rappville,310
11948,Rathmines,1944
11950,Ravenswood (NSW),477
11951,Raworth,1226
11952,Raymond Terrace,12725
11953,Razorback,965
11954,Red Head,393
11955,Red Range,605
11956,Red Rock,310
11957,Redbank (NSW),392
11958,Redbournberry,116
11959,Redfern,12038
11960,Redhead,3454
11961,Reedy Creek (NSW),397
11962,Regents Park (NSW),4505
11963,Regentville,618
11964,Repton,630
11965,Reserve Creek,211
11966,Revesby,12941
11967,Revesby Heights,1363
11968,Rhodes,5684
11969,Richmond (NSW),5280
11970,Richmond Hill (NSW),821
11971,Richmond Lowlands,221
11972,Rileys Hill,225
11973,Riverside (NSW),252
11974,Riverstone,6186
11975,Riverview (Gwydir - NSW),124
11976,Riverview (Lane Cove - NSW),3161
11977,Riverwood,10217
11978,Robertson (NSW),1848
11979,Robin Hill,920
11980,Rock Flat,109
11981,Rock Forest,341
11982,Rock Valley,271
11983,Rockdale,14023
11984,Rockley,227
11985,Rocky Point (NSW),276
11986,Rocky River (Uralla - NSW),258
11987,Rodd Point,1300
11989,Rooty Hill,13379
11990,Ropes Crossing,1478
11991,Rose Bay (NSW),9392
11992,Rosebank,509
11993,Roseberry Creek,184
11994,Rosebery (NSW),8475
11995,Rosebrook (NSW),171
11996,Rosedale (NSW),231
11997,Rosehill (NSW),2635
11998,Roselands,11164
11999,Rosemeadow,7639
12000,Roseville,9174
12001,Roseville Chase,1599
12002,Rosewood (Port Macquarie-Hastings -,343
12003,Rosewood (Tumbarumba - NSW),225
12004,Rossmore (NSW),2415
12005,Rothbury,452
12006,Rouchel,296
12007,Round Mountain,260
12008,Rous,256
12009,Rous Mill,196
12010,Rouse Hill,7481
12011,Rowlands Creek,248
12013,Royalla,879
12014,Rozelle,7924
12015,Run-o-Waters,390
12016,Ruse,5503
12017,Rushcutters Bay,2374
12018,Russell Lea,4784
12019,Russell Vale,1516
12020,Rutherford,10174
12021,Rydal,189
12022,Rydalmere,6221
12023,Ryde,21603
12024,Rye Park,238
12025,Ryhope,102
12026,Rylstone,873
12027,Sackville,249
12028,Sackville North,263
12029,Sadleir,3056
12030,Safety Beach (NSW),768
12031,Salamander Bay,4841
12032,Salisbury Plains,220
12033,Salt Ash,1105
12034,San Isidore,342
12035,San Remo (NSW),4303
12036,Sancrox,624
12037,Sanctuary Point,6605
12038,Sandgate (NSW),308
12039,Sandringham (NSW),979
12040,Sandy Beach,2133
12041,Sandy Flat,208
12042,Sandy Hollow,403
12043,Sandy Point (NSW),591
12044,Sans Souci,9667
12045,Sapphire Beach,1769
12046,Saratoga,3717
12048,Saumarez Ponds,424
12049,Sawtell,3488
12050,Sawyers Gully,516
12051,Scarborough (NSW),276
12052,Schofields,3816
12053,Scone,5492
12054,Scotland Island,716
12055,Scotts Head,817
12056,Seaforth (NSW),6726
12057,Seaham,1026
12058,Seahampton,309
12059,Sebastopol (NSW),359
12060,Sedgefield,490
12061,Seelands,210
12062,Sefton,5246
12063,Segenhoe,318
12064,Seven Hills (NSW),18827
12065,Shadforth (NSW),247
12066,Shalvey,3513
12067,Shanes Park,401
12068,Shannon Brook,245
12069,Shannons Flat,206
12070,Shell Cove,4026
12071,Shellharbour,3322
12073,Shelly Beach (NSW),1264
12074,Sherwood (Kempsey - NSW),261
12075,Shoal Bay (NSW),1842
12076,Shoalhaven Heads,2998
12077,Shortland,3708
12078,Silverdale (NSW),3443
12079,Silverwater (Auburn - NSW),3171
12080,Silverwater (Lake Macquarie - NSW),249
12081,Singleton (NSW),5525
12082,Singleton Heights,4679
12083,Skennars Head,1196
12084,Skinners Shoot,238
12086,Smithfield (NSW),11038
12087,Smiths Creek (Tweed - NSW),318
12088,Smiths Lake,1076
12089,Smithtown,609
12090,Soldiers Point,1333
12091,Somersby,982
12092,Somerton (NSW),574
12093,South Albury,1368
12094,South Arm (Nambucca - NSW),215
12095,South Bathurst,1838
12096,South Bowenfels,1001
12097,South Coogee,5080
12098,South Durras,274
12099,South Golden Beach,749
12100,South Grafton,6393
12101,South Granville,4853
12102,South Gundagai,788
12103,South Gundurimba,663
12104,South Guyra,370
12105,South Hurstville,4934
12106,South Kempsey,2465
12107,South Lismore,1902
12108,South Littleton,255
12109,South Maitland,532
12110,South Maroota,513
12111,South Murwillumbah,1066
12112,South Nowra,1023
12113,South Pambula,417
12114,South Penrith,11644
12115,South Tamworth,6682
12116,South Turramurra,2958
12117,South Wentworthville,5523
12118,South West Rocks,4308
12119,South Windsor,5859
12120,Southampton (NSW),57
12121,Southgate,175
12122,Speers Point,3228
12123,Speewa (NSW),376
12124,Spencer,515
12125,Spicers Creek,803
12126,Splitters Creek,267
12127,Spring Farm (NSW),1190
12128,Spring Flat,426
12129,Spring Grove,344
12130,Spring Hill (Cabonne - NSW),281
12131,Spring Ridge,390
12132,Spring Terrace,281
12133,Springdale Heights,1894
12134,Springfield (Gosford - NSW),4107
12135,Springrange,270
12136,Springside (NSW),230
12137,Springvale (Wagga Wagga - NSW),1687
12138,Springwood (NSW),8432
12139,St Albans (NSW),304
12140,St Andrews (NSW),5694
12141,St Clair (Penrith - NSW),19841
12142,St Fillans,289
12143,St Georges Basin,2628
12144,St Helens Park,6316
12145,St Huberts Island,1034
12146,St Ives (NSW),15553
12147,St Ives Chase,3082
12148,St Johns Park,5956
12149,St Leonards (NSW),4458
12150,St Marys (NSW),10960
12151,St Peters (NSW),2876
12152,Stanbridge,414
12153,Stanford Merthyr,563
12154,Stanhope Gardens,7678
12155,Stanmore (NSW),7699
12156,Stanwell Park,1377
12157,Stanwell Tops,470
12158,Stockinbingal,443
12159,Stockton (NSW),4190
12160,Stokers Siding,658
12161,Stonehenge (NSW),218
12162,Stony Chute,233
12163,Stratheden,231
12164,Strathfield (NSW),23642
12165,Strathfield South,3218
12166,Stroud,1023
12167,Stroud Road,281
12168,Stuart Town,486
12169,Stuarts Point,676
12170,Stubbo,235
12171,Stud Park,276
12172,Suffolk Park,3468
12173,Summer Hill (Ashfield - NSW),6588
12174,Summer Hill Creek,530
12175,Summerland Point,2350
12176,Sunny Corner,269
12177,Sunset Strip (NSW),410
12178,Sunshine (NSW),435
12179,Sunshine Bay,1238
12180,Surf Beach (NSW),2045
12181,Surfside,1402
12182,Surry Hills,15369
12183,Sussex Inlet,3558
12184,Sutherland (NSW),9908
12185,Sutton (NSW),1665
12186,Sutton Forest,575
12187,Swan Bay (Port Stephens - NSW),437
12188,Swan Bay (Richmond Valley - NSW),284
12189,Swansea (NSW),4833
12190,Swansea Heads,710
12191,Sydenham (NSW),1016
12192,Sydney,14301
12194,Sylvania,9732
12195,Sylvania Waters,3134
12196,Table Top,1256
12197,Tabulam,639
12198,Tacoma,747
12199,Tacoma South,264
12200,Tahmoor,4506
12201,Talbingo,201
12202,Tallawang,365
12203,Tallimba,335
12204,Tallong,719
12205,Tallwoods Village,539
12206,Tamarama,1451
12207,Tambar Springs,543
12209,Tamworth,239
12210,Tanilba Bay,2917
12211,Tanja,381
12212,Tannabar,119
12213,Tantawangalo,226
12214,Tapitallee,678
12215,Tarago,349
12216,Taralga,284
12217,Tarbuck Bay,203
12218,Tarcutta,616
12219,Taree,15856
12220,Taree South,295
12221,Taren Point,1679
12222,Tarraganda,246
12223,Tarrawanna,1998
